index,title,genres,cast,keywords,director
0,Avatar,Action Adventure Fantasy Science Fiction,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,culture clash future space war space colony society,James Cameron
1,Pirates of the Caribbean: At World's End,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,ocean drug abuse exotic island east india trading company love of one's life,Gore Verbinski
2,Spectre,Action Adventure Crime,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,spy based on novel secret agent sequel mi6,Sam Mendes
3,The Dark Knight Rises,Action Crime Drama Thriller,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,dc comics crime fighter terrorist secret identity burglar,Christopher Nolan
4,John Carter,Action Adventure Science Fiction,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,based on novel mars medallion space travel princess,Andrew Stanton
5,Spider-Man 3,Fantasy Action Adventure,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,dual identity amnesia sandstorm love of one's life forgiveness,Sam Raimi
6,Tangled,Animation Family,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,hostage magic horse fairy tale musical,Byron Howard
7,Avengers: Age of Ultron,Action Adventure Science Fiction,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,marvel comic sequel superhero based on comic book vision,Joss Whedon
8,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,witch magic broom school of witchcraft wizardry,David Yates
9,Batman v Superman: Dawn of Justice,Action Adventure Fantasy,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,dc comics vigilante superhero based on comic book revenge,Zack Snyder
10,Superman Returns,Adventure Fantasy Action Science Fiction,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,saving the world dc comics invulnerability sequel superhero,Bryan Singer
11,Quantum of Solace,Adventure Action Thriller Crime,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,killing undercover secret agent british secret service,Marc Forster
12,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,witch fortune teller bondage exotic island monster,Gore Verbinski
13,The Lone Ranger,Action Adventure Western,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,texas horse survivor texas ranger partner,Gore Verbinski
14,Man of Steel,Action Adventure Fantasy Science Fiction,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,saving the world dc comics superhero based on comic book superhuman,Zack Snyder
15,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,based on novel fictional place brother sister relationship lion human being,Andrew Adamson
